Start Time,End Time,Subtitle Text Raw,Video Title,YouTube ID,Subtitle Text Clean,Subtitle Text
00:00:53.600,00:00:59.359,known as labeled data for example in,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,known as labeled data for example in,known as labeled data for example in
00:00:56.000,00:01:02.640,this case these are the images of dogs,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,this case these are the images of dogs,this case these are the images of dogs
00:00:59.359,00:01:05.600,and the network extracts some features,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,and the network extracts some features,and the network extracts some features
00:01:02.640,00:01:08.640,that makes a dog a dog right so that is,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,that makes a dog a dog right so that is,that makes a dog a dog right so that is
00:01:05.600,00:01:11.760,known as feature extraction and based on,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,known as feature extraction and based on,known as feature extraction and based on
00:01:08.640,00:01:13.760,that when you submit a new image of dog,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,that when you submit a new image of dog,that when you submit a new image of dog
00:01:11.760,00:01:15.119,the basic features remain pretty much,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the basic features remain pretty much,the basic features remain pretty much
00:01:13.760,00:01:17.759,the same it may be a completely,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the same it may be a completely,the same it may be a completely
00:01:15.119,00:01:21.280,different image but the features of a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,different image but the features of a,different image but the features of a
00:01:17.759,00:01:23.200,dog still remain pretty much the same in,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,dog still remain pretty much the same in,dog still remain pretty much the same in
00:01:21.280,00:01:25.680,various different images let's say,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,various different images let's say,various different images let's say
00:01:23.200,00:01:28.000,compared to a cat and that's the way,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,compared to a cat and that's the way,compared to a cat and that's the way
00:01:25.680,00:01:30.479,artificial neural network works we'll go,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,artificial neural network works we'll go,artificial neural network works we'll go
00:01:28.000,00:01:32.240,into details of this uh very shortly and,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,into details of this uh very shortly and,into details of this uh very shortly and
00:01:30.479,00:01:35.119,once the training is done with training,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,once the training is done with training,once the training is done with training
00:01:32.240,00:01:37.439,data we then test it with some test data,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,data we then test it with some test data,data we then test it with some test data
00:01:35.119,00:01:39.840,too which is basically completely new,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,too which is basically completely new,too which is basically completely new
00:01:37.439,00:01:42.240,data which the system has not seen,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,data which the system has not seen,data which the system has not seen
00:01:39.840,00:01:43.920,before unlike the training data and then,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,before unlike the training data and then,before unlike the training data and then
00:01:42.240,00:01:46.560,we find out whether it is predicting,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,we find out whether it is predicting,we find out whether it is predicting
00:01:43.920,00:01:49.280,correctly or not thereby we know whether,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,correctly or not thereby we know whether,correctly or not thereby we know whether
00:01:46.560,00:01:50.799,the training is complete or it needs,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the training is complete or it needs,the training is complete or it needs
00:01:49.280,00:01:53.119,more training so that's not a very high,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,more training so that's not a very high,more training so that's not a very high
00:01:50.799,00:01:55.040,level artificial neural network works so,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,level artificial neural network works so,level artificial neural network works so
00:01:53.119,00:01:57.119,this is what we are going to talk about,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,this is what we are going to talk about,this is what we are going to talk about
00:01:55.040,00:01:59.200,today our agenda looks something like,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,today our agenda looks something like,today our agenda looks something like
00:01:57.119,00:02:00.799,this what is deep learning why do we,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,this what is deep learning why do we,this what is deep learning why do we
00:01:59.200,00:02:03.040,need deep learning and then what are the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,need deep learning and then what are the,need deep learning and then what are the
00:02:00.799,00:02:05.920,applications of deep learning one of the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,applications of deep learning one of the,applications of deep learning one of the
00:02:03.040,00:02:08.239,main components the secret sauce in deep,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,main components the secret sauce in deep,main components the secret sauce in deep
00:02:05.920,00:02:09.599,learning is neural networks so we're,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning is neural networks so we're,learning is neural networks so we're
00:02:08.239,00:02:10.879,going to talk about what is neural,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,going to talk about what is neural,going to talk about what is neural
00:02:09.599,00:02:12.879,network and,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,network and,network and
00:02:10.879,00:02:15.520,how it works and some of its components,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,how it works and some of its components,how it works and some of its components
00:02:12.879,00:02:17.440,like for example the activation function,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,like for example the activation function,like for example the activation function
00:02:15.520,00:02:20.160,the gradient descent and so on and so,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the gradient descent and so on and so,the gradient descent and so on and so
00:02:17.440,00:02:21.680,forth so that as a part of working of a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,forth so that as a part of working of a,forth so that as a part of working of a
00:02:20.160,00:02:23.520,neural network we will go into little,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,neural network we will go into little,neural network we will go into little
00:02:21.680,00:02:26.720,bit more details how this whole thing,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,bit more details how this whole thing,bit more details how this whole thing
00:02:23.520,00:02:29.360,works so without much further ado let's,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,works so without much further ado let's,works so without much further ado let's
00:02:26.720,00:02:31.520,get started so deep learning is,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,get started so deep learning is,get started so deep learning is
00:02:29.360,00:02:34.080,considered to be a part of machine,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,considered to be a part of machine,considered to be a part of machine
00:02:31.520,00:02:36.720,learning so this diagram very nicely,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning so this diagram very nicely,learning so this diagram very nicely
00:02:34.080,00:02:39.599,depicts what deep learning is at a very,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,depicts what deep learning is at a very,depicts what deep learning is at a very
00:02:36.720,00:02:42.480,high level you have the all-encompassing,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,high level you have the all-encompassing,high level you have the all-encompassing
00:02:39.599,00:02:45.840,artificial intelligence which is more a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,artificial intelligence which is more a,artificial intelligence which is more a
00:02:42.480,00:02:47.680,concept rather than a technology or a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,concept rather than a technology or a,concept rather than a technology or a
00:02:45.840,00:02:49.280,technical concept right so it is it's,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,technical concept right so it is it's,technical concept right so it is it's
00:02:47.680,00:02:51.440,more of a concept at a very high level,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,more of a concept at a very high level,more of a concept at a very high level
00:02:49.280,00:02:53.200,artificial intelligence under the herd,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,artificial intelligence under the herd,artificial intelligence under the herd
00:02:51.440,00:02:55.360,is actually machine learning and deep,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,is actually machine learning and deep,is actually machine learning and deep
00:02:53.200,00:02:58.560,learning and machine learning is a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning and machine learning is a,learning and machine learning is a
00:02:55.360,00:03:01.840,broader concept you can say or a broader,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,broader concept you can say or a broader,broader concept you can say or a broader
00:02:58.560,00:03:03.280,technology and deep learning is a subset,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,technology and deep learning is a subset,technology and deep learning is a subset
00:03:01.840,00:03:05.440,of machine learning the primary,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,of machine learning the primary,of machine learning the primary
00:03:03.280,00:03:07.920,difference between machine learning and,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,difference between machine learning and,difference between machine learning and
00:03:05.440,00:03:11.519,deep learning is that deep learning uses,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,deep learning is that deep learning uses,deep learning is that deep learning uses
00:03:07.920,00:03:14.080,neural networks and it is suitable for,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,neural networks and it is suitable for,neural networks and it is suitable for
00:03:11.519,00:03:16.480,handling large amounts of unstructured,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,handling large amounts of unstructured,handling large amounts of unstructured
00:03:14.080,00:03:18.080,data and the last but not least one of,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,data and the last but not least one of,data and the last but not least one of
00:03:16.480,00:03:19.599,the major differences between machine,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the major differences between machine,the major differences between machine
00:03:18.080,00:03:22.080,learning and deep learning is that in,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning and deep learning is that in,learning and deep learning is that in
00:03:19.599,00:03:24.640,machine learning the feature extraction,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,machine learning the feature extraction,machine learning the feature extraction
00:03:22.080,00:03:26.959,or the feature engineering is done by,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,or the feature engineering is done by,or the feature engineering is done by
00:03:24.640,00:03:29.280,the data scientists manually but in deep,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the data scientists manually but in deep,the data scientists manually but in deep
00:03:26.959,00:03:30.799,learning since we use neural networks,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning since we use neural networks,learning since we use neural networks
00:03:29.280,00:03:32.720,the feature engineering happens,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the feature engineering happens,the feature engineering happens
00:03:30.799,00:03:34.720,automatically so that's a little bit of,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,automatically so that's a little bit of,automatically so that's a little bit of
00:03:32.720,00:03:36.000,a quick difference between machine,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,a quick difference between machine,a quick difference between machine
00:03:34.720,00:03:38.159,learning and deep learning and this,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning and deep learning and this,learning and deep learning and this
00:03:36.000,00:03:40.000,diagram very nicely depicts the relation,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,diagram very nicely depicts the relation,diagram very nicely depicts the relation
00:03:38.159,00:03:42.239,between artificial intelligence machine,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,between artificial intelligence machine,between artificial intelligence machine
00:03:40.000,00:03:44.319,learning and deep learning now why do we,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning and deep learning now why do we,learning and deep learning now why do we
00:03:42.239,00:03:47.040,need deep learning machine learning was,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,need deep learning machine learning was,need deep learning machine learning was
00:03:44.319,00:03:49.120,there for quite some time and it can do,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,there for quite some time and it can do,there for quite some time and it can do
00:03:47.040,00:03:51.599,a lot of stuff that probably what deep,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,a lot of stuff that probably what deep,a lot of stuff that probably what deep
00:03:49.120,00:03:53.680,learning can do but it's not very good,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning can do but it's not very good,learning can do but it's not very good
00:03:51.599,00:03:57.200,at handling large amounts of,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,at handling large amounts of,at handling large amounts of
00:03:53.680,00:03:59.920,unstructured data like images voice or,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,unstructured data like images voice or,unstructured data like images voice or
00:03:57.200,00:04:01.920,even text for that matter so traditional,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,even text for that matter so traditional,even text for that matter so traditional
00:03:59.920,00:04:03.519,machine learning is not that very good,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,machine learning is not that very good,machine learning is not that very good
00:04:01.920,00:04:05.040,at doing this traditional machine,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,at doing this traditional machine,at doing this traditional machine
00:04:03.519,00:04:07.040,learning can handle large amounts of,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning can handle large amounts of,learning can handle large amounts of
00:04:05.040,00:04:09.120,structured data but when it comes to,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,structured data but when it comes to,structured data but when it comes to
00:04:07.040,00:04:10.480,unstructured data it's a big challenge,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,unstructured data it's a big challenge,unstructured data it's a big challenge
00:04:09.120,00:04:12.560,so that is one of the key,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,so that is one of the key,so that is one of the key
00:04:10.480,00:04:15.519,differentiators for deep learning so,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,differentiators for deep learning so,differentiators for deep learning so
00:04:12.560,00:04:18.320,that is number one and increasingly for,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,that is number one and increasingly for,that is number one and increasingly for
00:04:15.519,00:04:20.400,artificial intelligence we need image,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,artificial intelligence we need image,artificial intelligence we need image
00:04:18.320,00:04:22.320,recognition and we need to process,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,recognition and we need to process,recognition and we need to process
00:04:20.400,00:04:23.680,analyze images and voice that's the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,analyze images and voice that's the,analyze images and voice that's the
00:04:22.320,00:04:25.520,reason deep learning is required,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,reason deep learning is required,reason deep learning is required
00:04:23.680,00:04:27.840,compared to let's say traditional,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,compared to let's say traditional,compared to let's say traditional
00:04:25.520,00:04:31.199,machine learning it can also perform,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,machine learning it can also perform,machine learning it can also perform
00:04:27.840,00:04:33.120,complex algorithms more complex than,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,complex algorithms more complex than,complex algorithms more complex than
00:04:31.199,00:04:35.919,let's say what machine learning can do,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,let's say what machine learning can do,let's say what machine learning can do
00:04:33.120,00:04:38.000,and it can achieve best performance with,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,and it can achieve best performance with,and it can achieve best performance with
00:04:35.919,00:04:39.919,the large amounts of data so the more,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,the large amounts of data so the more,the large amounts of data so the more
00:04:38.000,00:04:42.800,you have the data let's say reference,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,you have the data let's say reference,you have the data let's say reference
00:04:39.919,00:04:44.639,data or label data the better the system,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,data or label data the better the system,data or label data the better the system
00:04:42.800,00:04:46.960,will do because the training process,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,will do because the training process,will do because the training process
00:04:44.639,00:04:49.040,will be that much better and last but,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,will be that much better and last but,will be that much better and last but
00:04:46.960,00:04:51.600,not least with deep learning you can,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,not least with deep learning you can,not least with deep learning you can
00:04:49.040,00:04:53.360,really avoid the manual process of,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,really avoid the manual process of,really avoid the manual process of
00:04:51.600,00:04:55.280,feature extraction those are some of the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,feature extraction those are some of the,feature extraction those are some of the
00:04:53.360,00:04:57.120,reasons why we need deep learning some,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,reasons why we need deep learning some,reasons why we need deep learning some
00:04:55.280,00:05:00.160,of the applications of deep learning,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,of the applications of deep learning,of the applications of deep learning
00:04:57.120,00:05:02.960,deep learning has made major inroads and,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,deep learning has made major inroads and,deep learning has made major inroads and
00:05:00.160,00:05:05.440,it is a major area in which deep,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,it is a major area in which deep,it is a major area in which deep
00:05:02.960,00:05:08.880,learning is applied is healthcare and,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,learning is applied is healthcare and,learning is applied is healthcare and
00:05:05.440,00:05:12.080,within healthcare particularly oncology,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,within healthcare particularly oncology,within healthcare particularly oncology
00:05:08.880,00:05:15.199,which is basically cancer related stuff,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,which is basically cancer related stuff,which is basically cancer related stuff
00:05:12.080,00:05:17.919,one of the issues with cancer is that a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,one of the issues with cancer is that a,one of the issues with cancer is that a
00:05:15.199,00:05:20.960,lot of cancers today are curable they,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,lot of cancers today are curable they,lot of cancers today are curable they
00:05:17.919,00:05:23.360,can be cured they are detected early on,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,can be cured they are detected early on,can be cured they are detected early on
00:05:20.960,00:05:25.600,and the challenge with that is when a,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,and the challenge with that is when a,and the challenge with that is when a
00:05:23.360,00:05:28.080,diagnostics is performed let's say an,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,diagnostics is performed let's say an,diagnostics is performed let's say an
00:05:25.600,00:05:30.320,image has been taken of a patient to,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,image has been taken of a patient to,image has been taken of a patient to
00:05:28.080,00:05:33.120,detect whether there is cancer or not,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,detect whether there is cancer or not,detect whether there is cancer or not
00:05:30.320,00:05:35.120,you need a specialist to look at the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,you need a specialist to look at the,you need a specialist to look at the
00:05:33.120,00:05:38.080,image and determine whether it is the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,image and determine whether it is the,image and determine whether it is the
00:05:35.120,00:05:41.199,patient is fine or there is any onset of,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,patient is fine or there is any onset of,patient is fine or there is any onset of
00:05:38.080,00:05:44.160,cancer and the number of specialists are,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,cancer and the number of specialists are,cancer and the number of specialists are
00:05:41.199,00:05:46.639,limited so if we use deep learning if we,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,limited so if we use deep learning if we,limited so if we use deep learning if we
00:05:44.160,00:05:48.880,use automation here or if we use,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,use automation here or if we use,use automation here or if we use
00:05:46.639,00:05:52.000,artificial intelligence here then the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,artificial intelligence here then the,artificial intelligence here then the
00:05:48.880,00:05:54.639,system can with a certain amount of the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,system can with a certain amount of the,system can with a certain amount of the
00:05:52.000,00:05:57.520,good amount of accuracy determine,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,good amount of accuracy determine,good amount of accuracy determine
00:05:54.639,00:06:00.000,whether a particular patient is having,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,whether a particular patient is having,whether a particular patient is having
00:05:57.520,00:06:02.960,cancer or not so the prediction or the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,cancer or not so the prediction or the,cancer or not so the prediction or the
00:06:00.000,00:06:05.919,detection process of a disease like,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,detection process of a disease like,detection process of a disease like
00:06:02.960,00:06:08.160,cancer can be expedited the detection,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,cancer can be expedited the detection,cancer can be expedited the detection
00:06:05.919,00:06:10.800,process can be expedited can be faster,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,process can be expedited can be faster,process can be expedited can be faster
00:06:08.160,00:06:13.600,without really waiting for a specialist,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,without really waiting for a specialist,without really waiting for a specialist
00:06:10.800,00:06:15.919,we can obviously then once the,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,we can obviously then once the,we can obviously then once the
00:06:13.600,00:06:18.479,application once the artificial,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,application once the artificial,application once the artificial
00:06:15.919,00:06:20.800,intelligence detects or predicts that,what is deep learning introduction to deep learning deep learning tutorial simplilearn,FbxTVRfQFuI,intelligence detects or predicts that,intelligence detects or predicts that
